"id_car","post_code_mov","id_cluster","nm_nome_cleaned","conteggio","id_macro_prod_iss","te_macro_prod_iss","id_fam_prod_iss","te_fam_prod_iss","id_ctg_2","te_ctg_2","id_macro_ctg_2","te_macro_ctg_2"
"32D9AD44D755CE74F5274F2D47A9D519","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"67725B41D361C6F038DDE00C158A453B","63074","0000000090","FARMACIA LAURI","12","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"72AB7D45243B2569D20FB1A4E51F9C45","63074","0000001076","FARMACIA TOMASSINI","3","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"BCA8D4FD65895F9C7AE64F9A542875C1","63074","0000000090","FARMACIA LAURI","3","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"10FE4874B82921F4A37F9753217A2B08","63074","0000001076","FARMACIA TOMASSINI","50","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"2A1EA456FF0F900CE7311C12A9C11032","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"2C1A763CF6E7B9B47D4283A3317322BF","63074","0000001076","FARMACIA TOMASSINI","5","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"8A47800E5302931E8C3A80AE27EEF6EB","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"A5D496161F02BE22E3ACB534D09E8816","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"C7E0A3F6BEE3018AFD9B3921BD2F7118","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"E000C2C2C4D740364924B64A913E5847","63074","0000002682","BATUFFOLI COCCOLE","5","1","Classic","1","Classic e Rateali","30","GRANDE DISTRIBUZIONE NON ALIMENTARE","7","RETAIL"
"E000C2C2C4D740364924B64A913E5847","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"E1A1D0456A8889002A53B79F664FC966","63074","0000000090","FARMACIA LAURI","4","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"21433A4F56A7C3E313C0938D839637BA","63074","0000000090","FARMACIA LAURI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
